NU_INSCRICAO,NU_ANO,TP_SEXO,TP_COR_RACA,TP_ESTADO_CIVIL,TP_NACIONALIDADE,SG_UF_RESIDENCIA,TP_ST_CONCLUSAO,Q001,Q002,Q003,Q004,Q006,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA,APPROVED_ADM,APPROVED_MED
190003903183,2019,F,3,1,1,SE,2,B,B,A,A,B,19,437.9,423.7,457.2,461.9,0.0,5,445.17499999999995,0,0
190005124618,2019,F,2,1,1,SP,2,A,A,B,B,B,19,426.2,548.7,537.9,427.7,600.0,4,485.12500000000006,0,0
190001447215,2019,F,3,2,1,BA,1,B,C,A,A,C,39,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190003825026,2019,M,3,1,1,MT,2,E,E,D,B,F,17,359.3,520.1,430.1,493.3,440.0,4,450.7,0,0
190001995539,2019,F,1,1,1,MA,2,B,E,D,D,B,17,494.7,503.7,545.2,585.6,880.0,5,532.3,0,0
190004693239,2019,F,1,1,1,MT,1,D,E,C,B,H,21,517.1,592.2,592.2,428.1,440.0,3,532.4000000000001,0,0
190004877161,2019,M,1,1,1,RS,3,B,C,C,D,F,17,538.0,588.1,570.8,619.9,420.0,4,579.1999999999999,1,0
190002220563,2019,F,3,1,1,PE,2,E,F,C,D,C,17,482.6,425.2,522.6,433.0,640.0,5,465.85,0,0
190002234080,2019,F,1,1,1,PB,1,B,C,B,A,E,19,481.7,344.5,427.3,499.9,0.0,5,438.35,0,0
190002852302,2019,F,3,1,1,MG,2,B,C,B,B,C,17,370.6,461.0,495.6,411.5,320.0,4,434.675,0,0
190001632617,2019,F,3,1,1,MG,2,H,D,F,B,B,17,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190002321100,2019,F,3,0,2,SP,2,E,E,C,B,B,17,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190005617834,2019,F,3,1,1,PE,1,E,D,B,B,F,19,471.0,512.2,527.3,501.5,580.0,6,503.0,0,0
190002541154,2019,F,3,1,1,AL,2,A,C,A,B,B,18,391.6,388.7,453.3,520.3,260.0,5,438.47499999999997,0,0
190004067232,2019,F,1,1,1,GO,3,E,F,D,D,M,16,589.6,621.0,607.7,705.3,860.0,5,630.9,1,0
190002129550,2019,M,1,1,1,SP,1,D,F,C,F,E,20,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190001716907,2019,F,3,1,1,SC,2,B,C,A,A,B,17,471.0,512.2,527.3,501.5,580.0,2,503.0,0,0
190002831622,2019,F,1,1,1,MG,2,B,C,A,A,C,17,485.9,592.1,560.0,551.6,600.0,7,547.4,0,0
190003865673,2019,F,1,1,1,RS,2,E,F,C,D,K,18,402.3,526.4,573.7,589.2,780.0,4,522.9000000000001,0,0
190004149436,2019,M,2,1,1,BA,1,B,E,A,C,C,23,516.6,511.1,500.3,368.6,460.0,3,474.15,0,0
190002737341,2019,M,3,1,1,CE,1,H,C,F,A,C,32,471.0,512.2,527.3,501.5,580.0,6,503.0,0,0
190001517444,2019,F,2,1,1,RJ,1,D,E,C,B,G,21,353.2,523.4,407.4,401.6,580.0,5,421.4,0,0
190005638401,2019,F,3,1,1,BA,1,C,E,F,C,B,26,388.7,416.9,482.6,501.5,540.0,1,447.42499999999995,0,0
190004603504,2019,M,1,1,1,PB,1,D,E,B,B,C,22,517.8,448.6,529.3,552.5,500.0,6,512.05,0,0
190002166834,2019,F,3,1,1,MG,1,E,E,C,C,I,21,542.6,579.5,573.0,544.3,800.0,5,559.8499999999999,0,0
190001555031,2019,M,1,1,1,ES,1,B,B,A,B,C,26,431.1,501.7,483.0,478.3,440.0,2,473.525,0,0
190003331916,2019,M,3,1,1,RJ,1,C,E,C,B,G,28,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190002079886,2019,F,3,1,1,SP,1,D,E,C,B,G,18,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190004821484,2019,F,3,1,1,MA,2,E,E,D,A,F,18,328.2,423.7,455.6,406.8,0.0,7,403.575,0,0
190001313420,2019,F,2,1,1,MG,2,B,B,A,B,A,18,355.0,326.0,377.8,435.6,300.0,5,373.6,0,0
190004836261,2019,M,2,1,1,MA,2,B,C,B,B,C,20,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190005469383,2019,F,3,1,1,GO,2,C,C,B,B,C,18,380.2,431.5,485.8,427.6,380.0,2,431.275,0,0
190003501526,2019,F,3,1,1,BA,1,C,F,A,D,C,24,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190001274316,2019,F,3,1,1,BA,1,E,E,C,C,C,19,358.6,454.0,556.2,530.4,600.0,5,474.80000000000007,0,0
190002447222,2019,M,1,1,1,RJ,1,E,E,D,D,D,23,581.9,592.5,636.6,610.6,540.0,2,605.4,1,0
190003153563,2019,M,2,1,1,RJ,1,B,E,C,D,C,19,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190002745382,2019,F,3,2,1,PB,1,A,A,A,A,B,21,453.4,547.6,533.1,536.0,660.0,2,517.525,0,0
190005591193,2019,M,3,1,1,RN,1,H,H,F,F,B,25,492.8,445.6,514.9,448.9,460.0,3,475.55000000000007,0,0
190004679421,2019,F,1,1,1,SC,2,F,F,D,D,P,17,611.4,317.3,610.1,732.3,760.0,7,567.7750000000001,0,0
190001429230,2019,F,3,1,1,BA,1,D,B,A,B,B,19,435.0,377.1,446.3,494.7,460.0,5,438.27500000000003,0,0
190002906509,2019,F,1,0,1,RS,1,B,D,A,B,E,21,471.0,512.2,527.3,501.5,580.0,2,503.0,0,0
190002082259,2019,M,3,1,1,SP,2,E,D,B,B,B,18,395.1,418.2,481.8,521.2,520.0,2,454.075,0,0
190004643483,2019,F,2,1,1,RJ,1,B,B,B,B,B,23,450.5,456.0,500.3,408.5,520.0,3,453.825,0,0
190005872461,2019,M,1,1,1,SP,2,C,E,C,B,C,17,422.2,477.6,435.5,458.6,300.0,2,448.475,0,0
190001025161,2019,M,3,1,1,RO,1,D,G,C,D,C,24,471.0,512.2,527.3,501.5,580.0,6,503.0,0,0
190002171820,2019,F,2,2,2,BA,1,C,H,C,F,C,29,463.7,357.5,513.6,489.5,400.0,4,456.07500000000005,0,0
190003122581,2019,F,2,1,2,MA,1,C,D,B,C,B,29,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190002252689,2019,M,1,1,1,BA,1,A,B,A,A,B,19,571.2,564.6,534.0,641.7,580.0,4,577.875,1,0
190002916018,2019,M,1,1,1,MG,2,C,C,B,B,B,18,407.4,335.9,453.7,538.9,420.0,3,433.975,0,0
190004966245,2019,F,3,1,1,ES,1,A,A,A,A,D,21,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190001015906,2019,F,2,1,1,PA,2,B,B,F,B,B,17,375.8,381.9,492.6,479.6,480.0,4,432.475,0,0
190001993543,2019,M,3,1,1,AM,1,B,B,B,B,C,21,471.0,437.8,444.2,501.5,0.0,4,463.625,0,0
190005390173,2019,M,3,2,1,MG,4,B,B,C,A,D,58,464.6,429.7,452.0,377.6,260.0,4,430.975,0,0
190003364965,2019,M,1,1,1,SP,1,F,E,C,C,G,20,433.4,438.5,560.6,465.9,700.0,4,474.6,0,0
190003484180,2019,F,1,1,1,MG,1,B,C,C,A,E,23,448.5,517.8,525.3,538.7,740.0,5,507.575,0,0
190005552854,2019,M,3,2,1,MA,1,B,B,A,A,G,33,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190005615898,2019,F,3,1,1,PE,3,E,E,D,B,B,18,471.0,490.4,479.8,501.5,600.0,2,485.675,0,0
190005444717,2019,M,3,1,1,AC,1,E,D,D,F,H,33,400.8,496.2,504.9,609.4,520.0,2,502.82500000000005,0,0
190001168682,2019,F,3,1,1,CE,2,H,D,A,A,B,19,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190004777781,2019,F,1,1,1,SC,1,E,E,C,D,G,20,455.9,486.9,523.5,431.7,480.0,4,474.5,0,0
190003918293,2019,M,1,1,1,PE,3,F,F,D,D,P,16,568.5,609.6,599.7,748.0,480.0,4,631.45,1,0
190005033224,2019,M,3,1,1,PE,1,E,E,B,B,C,19,407.4,445.3,457.6,477.6,480.0,3,446.975,0,0
190001305944,2019,F,1,1,1,MG,3,C,F,A,D,D,16,471.0,618.7,617.8,501.5,940.0,3,552.25,0,0
190002564679,2019,F,1,1,1,PE,1,B,B,A,A,E,27,480.3,536.6,552.6,509.0,640.0,4,519.625,0,0
190004132865,2019,F,3,1,1,RN,1,E,B,D,D,D,27,576.8,588.3,597.2,488.8,0.0,5,562.775,0,0
190005911574,2019,M,3,1,1,PR,1,B,B,C,C,C,23,445.2,431.7,431.4,397.1,260.0,3,426.35,0,0
190005459458,2019,M,3,1,1,DF,2,E,D,B,C,E,18,536.1,557.6,537.4,614.7,600.0,6,561.45,0,0
190005141303,2019,F,1,1,1,MG,2,B,C,B,A,A,18,401.6,435.7,498.9,492.8,300.0,4,457.24999999999994,0,0
190002699423,2019,M,3,1,1,CE,1,B,D,A,C,C,21,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190004529385,2019,F,1,1,1,MG,1,B,A,A,B,C,33,446.5,450.5,474.5,547.2,480.0,3,479.675,0,0
190006065434,2019,M,2,1,1,RJ,1,H,E,B,B,C,19,418.5,444.3,381.2,446.5,340.0,2,422.625,0,0
