,NU_INSCRICAO,NU_ANO,NU_IDADE,TP_COR_RACA,TP_ESTADO_CIVIL,TP_NACIONALIDADE,TP_SEXO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,TP_ST_CONCLUSAO,TP_ENSINO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,IN_BRAILLE,IN_AMPLIADA_18,IN_AMPLIADA_24,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,Q001,Q002,Q003,Q004,Q005,Q006
0,190003903183,2019,19,3,1,1,F,Canindé de São Francisco,SE,2,1,437.9,423.7,457.2,461.9,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,A,A,5,B
1,190005124618,2019,19,2,1,1,F,São Bernardo do Campo,SP,2,,426.2,548.7,537.9,427.7,120,120,120,120,120,600,0,0,0,0,0,0,0,A,A,B,B,4,B
2,190001447215,2019,39,3,2,1,F,Ibititá,BA,1,1,,,,,,,,,,,0,0,0,0,0,0,0,B,C,A,A,3,C
3,190003825026,2019,17,3,1,1,M,Tangará da Serra,MT,2,1,359.3,520.1,430.1,493.3,100,120,100,100,20,440,0,0,0,0,0,0,0,E,E,D,B,4,F
4,190001995539,2019,17,1,1,1,F,Parnarama,MA,2,1,494.7,503.7,545.2,585.6,160,180,180,180,180,880,0,0,0,0,0,0,0,B,E,D,D,5,B
5,190004693239,2019,21,1,1,1,F,Campo Verde,MT,1,,517.1,592.2,592.2,428.1,100,120,80,80,60,440,0,0,0,0,0,0,0,D,E,C,B,3,H
6,190004877161,2019,17,1,1,1,M,Presidente Lucena,RS,3,,538,588.1,570.8,619.9,120,80,100,120,0,420,0,0,0,0,0,0,0,B,C,C,D,4,F
7,190002220563,2019,17,3,1,1,F,Petrolina,PE,2,1,482.6,425.2,522.6,433,120,140,100,160,120,640,0,0,0,0,0,0,0,E,F,C,D,5,C
8,190002234080,2019,19,1,1,1,F,João Pessoa,PB,1,1,481.7,344.5,427.3,499.9,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,B,A,5,E
9,190002852302,2019,17,3,1,1,F,Açucena,MG,2,1,370.6,461,495.6,411.5,120,40,40,120,0,320,0,0,0,0,0,0,0,B,C,B,B,4,C
10,190001632617,2019,17,3,1,1,F,Belo Horizonte,MG,2,1,,,,,,,,,,,0,0,0,0,0,0,0,H,D,F,B,4,B
11,190002321100,2019,17,3,0,2,F,São Paulo,SP,2,1,,,,,,,,,,,0,0,0,0,0,0,0,E,E,C,B,5,B
12,190005617834,2019,19,3,1,1,F,Carpina,PE,1,1,,,,,,,,,,,0,0,0,0,0,0,0,E,D,B,B,6,F
13,190002541154,2019,18,3,1,1,F,Murici,AL,2,1,391.6,388.7,453.3,520.3,80,40,40,100,0,260,0,0,0,0,0,0,0,A,C,A,B,5,B
14,190004067232,2019,16,1,1,1,F,Goiânia,GO,3,,589.6,621,607.7,705.3,140,200,160,160,200,860,0,0,0,0,0,0,0,E,F,D,D,5,M
15,190002129550,2019,20,1,1,1,M,Iaras,SP,1,,,,,,,,,,,,0,0,0,0,0,0,0,D,F,C,F,3,E
16,190001716907,2019,17,3,1,1,F,São Joaquim,SC,2,1,,,,,,,,,,,0,0,0,0,0,0,0,B,C,A,A,2,B
17,190002831622,2019,17,1,1,1,F,Manhuaçu,MG,2,1,485.9,592.1,560,551.6,120,120,140,120,100,600,0,0,0,0,0,0,0,B,C,A,A,7,C
18,190003865673,2019,18,1,1,1,F,Novo Hamburgo,RS,2,1,402.3,526.4,573.7,589.2,140,140,160,180,160,780,0,0,0,0,0,0,0,E,F,C,D,4,K
19,190004149436,2019,23,2,1,1,M,Salvador,BA,1,1,516.6,511.1,500.3,368.6,80,120,80,80,100,460,0,0,0,0,0,0,0,B,E,A,C,3,C
20,190002737341,2019,32,3,1,1,M,Russas,CE,1,1,,,,,,,,,,,0,0,0,0,0,0,0,H,C,F,A,6,C
21,190001517444,2019,21,2,1,1,F,Seropédica,RJ,1,1,353.2,523.4,407.4,401.6,120,120,120,120,100,580,0,0,0,0,0,0,0,D,E,C,B,5,G
22,190005638401,2019,26,3,1,1,F,Amargosa,BA,1,,388.7,416.9,482.6,501.5,120,120,120,120,60,540,0,0,0,0,0,0,0,C,E,F,C,1,B
23,190004603504,2019,22,1,1,1,M,Campina Grande,PB,1,1,517.8,448.6,529.3,552.5,100,120,120,80,80,500,0,0,0,0,0,0,0,D,E,B,B,6,C
24,190002166834,2019,21,3,1,1,F,João Monlevade,MG,1,1,542.6,579.5,573,544.3,160,180,160,120,180,800,0,0,0,0,0,0,0,E,E,C,C,5,I
25,190001555031,2019,26,1,1,1,M,Piúma,ES,1,1,431.1,501.7,483,478.3,100,120,100,120,0,440,0,0,0,0,0,0,0,B,B,A,B,2,C
26,190003331916,2019,28,3,1,1,M,Belford Roxo,RJ,1,,,,,,,,,,,,0,0,0,0,0,0,0,C,E,C,B,4,G
27,190002079886,2019,18,3,1,1,F,Campinas,SP,1,1,,,,,,,,,,,0,0,0,0,0,0,0,D,E,C,B,5,G
28,190004821484,2019,18,3,1,1,F,São Luís,MA,2,,328.2,423.7,455.6,406.8,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E,D,A,7,F
29,190001313420,2019,18,2,1,1,F,Periquito,MG,2,1,355,326,377.8,435.6,60,120,60,60,0,300,0,0,0,0,0,0,0,B,B,A,B,5,A
30,190004836261,2019,20,2,1,1,M,Aldeias Altas,MA,2,2,,,,,,,,,,,0,0,0,0,0,0,0,B,C,B,B,5,C
31,190005469383,2019,18,3,1,1,F,São Miguel do Araguaia,GO,2,1,380.2,431.5,485.8,427.6,100,100,80,100,0,380,0,0,0,0,0,0,0,C,C,B,B,2,C
32,190003501526,2019,24,3,1,1,F,Salvador,BA,1,,,,,,,,,,,,0,0,0,0,0,0,0,C,F,A,D,3,C
33,190001274316,2019,19,3,1,1,F,Conceição do Coité,BA,1,1,358.6,454,556.2,530.4,140,120,120,140,80,600,0,0,0,0,0,0,0,E,E,C,C,5,C
34,190002447222,2019,23,1,1,1,M,Rio de Janeiro,RJ,1,,581.9,592.5,636.6,610.6,140,120,120,120,40,540,0,0,0,0,0,0,0,E,E,D,D,2,D
35,190003153563,2019,19,2,1,1,M,São Francisco de Itabapoana,RJ,1,,,,,,,,,,,,0,0,0,0,0,0,0,B,E,C,D,5,C
36,190002745382,2019,21,3,2,1,F,Tavares,PB,1,1,453.4,547.6,533.1,536,160,120,140,120,120,660,0,0,0,0,0,0,0,A,A,A,A,2,B
37,190005591193,2019,25,3,1,1,M,Baraúna,RN,1,,492.8,445.6,514.9,448.9,120,120,100,80,40,460,0,0,0,0,0,0,0,H,H,F,F,3,B
38,190004679421,2019,17,1,1,1,F,Florianópolis,SC,2,1,611.4,317.3,610.1,732.3,160,120,180,160,140,760,0,0,0,0,0,0,0,F,F,D,D,7,P
39,190001429230,2019,19,3,1,1,F,Salvador,BA,1,1,435,377.1,446.3,494.7,120,100,120,120,0,460,0,0,0,0,0,0,0,D,B,A,B,5,B
40,190002906509,2019,21,1,0,1,F,Tabaí,RS,1,1,,,,,,,,,,,0,0,0,0,0,0,0,B,D,A,B,2,E
41,190002082259,2019,18,3,1,1,M,Taboão da Serra,SP,2,1,395.1,418.2,481.8,521.2,120,120,120,100,60,520,0,0,0,0,0,0,0,E,D,B,B,2,B
42,190004643483,2019,23,2,1,1,F,Duque de Caxias,RJ,1,,450.5,456,500.3,408.5,120,120,140,120,20,520,0,0,0,0,0,0,0,B,B,B,B,3,B
43,190005872461,2019,17,1,1,1,M,Ribeirão Preto,SP,2,1,422.2,477.6,435.5,458.6,60,80,60,80,20,300,0,0,0,0,0,0,0,C,E,C,B,2,C
44,190001025161,2019,24,3,1,1,M,Porto Velho,RO,1,1,,,,,,,,,,,0,0,0,0,0,0,0,D,G,C,D,6,C
45,190002171820,2019,29,2,2,2,F,Senhor do Bonfim,BA,1,,463.7,357.5,513.6,489.5,100,80,60,140,20,400,0,0,0,0,0,0,0,C,H,C,F,4,C
46,190003122581,2019,29,2,1,2,F,São Luís,MA,1,1,,,,,,,,,,,0,0,0,0,0,0,0,C,D,B,C,4,B
47,190002252689,2019,19,1,1,1,M,Presidente Jânio Quadros,BA,1,1,571.2,564.6,534,641.7,120,120,100,140,100,580,0,0,0,0,0,0,0,A,B,A,A,4,B
48,190002916018,2019,18,1,1,1,M,Araguari,MG,2,1,407.4,335.9,453.7,538.9,100,120,120,80,0,420,0,0,0,0,0,0,0,C,C,B,B,3,B
49,190004966245,2019,21,3,1,1,F,Conceição da Barra,ES,1,1,,,,,,,,,,,0,0,0,0,0,0,0,A,A,A,A,3,D
50,190001015906,2019,17,2,1,1,F,Mãe do Rio,PA,2,1,375.8,381.9,492.6,479.6,120,120,120,120,0,480,0,0,0,0,0,0,0,B,B,F,B,4,B
51,190001993543,2019,21,3,1,1,M,Manaus,AM,1,1,,437.8,444.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,B,B,4,C
52,190005390173,2019,58,3,2,1,M,Belo Horizonte,MG,4,,464.6,429.7,452,377.6,80,40,40,80,20,260,0,0,0,0,0,0,0,B,B,C,A,4,D
53,190003364965,2019,20,1,1,1,M,Monte Alto,SP,1,,433.4,438.5,560.6,465.9,160,160,140,160,80,700,0,0,0,0,0,0,0,F,E,C,C,4,G
54,190003484180,2019,23,1,1,1,F,São João del Rei,MG,1,,448.5,517.8,525.3,538.7,120,200,160,120,140,740,0,0,0,0,0,0,0,B,C,C,A,5,E
55,190005552854,2019,33,3,2,1,M,Anajatuba,MA,1,,,,,,,,,,,,0,0,0,0,0,0,0,B,B,A,A,3,G
56,190005615898,2019,18,3,1,1,F,Petrolina,PE,3,,,490.4,479.8,,140,140,100,140,80,600,0,0,0,0,0,0,0,E,E,D,B,2,B
57,190005444717,2019,33,3,1,1,M,Cruzeiro do Sul,AC,1,,400.8,496.2,504.9,609.4,120,120,120,120,40,520,0,0,0,0,0,0,0,E,D,D,F,2,H
58,190001168682,2019,19,3,1,1,F,Horizonte,CE,2,1,,,,,,,,,,,0,0,0,0,0,0,0,H,D,A,A,5,B
59,190004777781,2019,20,1,1,1,F,Joinville,SC,1,,455.9,486.9,523.5,431.7,120,120,100,80,60,480,0,0,0,0,0,0,0,E,E,C,D,4,G
60,190003918293,2019,16,1,1,1,M,Recife,PE,3,,568.5,609.6,599.7,748,120,120,120,120,0,480,0,0,0,0,0,0,0,F,F,D,D,4,P
61,190005033224,2019,19,3,1,1,M,Recife,PE,1,1,407.4,445.3,457.6,477.6,120,120,120,120,0,480,0,0,0,0,0,0,0,E,E,B,B,3,C
62,190001305944,2019,16,1,1,1,F,Patrocínio,MG,3,,,618.7,617.8,,160,200,200,200,180,940,0,0,0,0,0,0,0,C,F,A,D,3,D
63,190002564679,2019,27,1,1,1,F,Tabira,PE,1,1,480.3,536.6,552.6,509,120,120,120,160,120,640,0,0,0,0,0,0,0,B,B,A,A,4,E
64,190004132865,2019,27,3,1,1,F,Parnamirim,RN,1,1,576.8,588.3,597.2,488.8,0,0,0,0,0,0,0,0,0,0,0,0,0,E,B,D,D,5,D
