NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190003903183,19,437.9,423.7,457.2,461.9,0.0,5,445.17499999999995
190005124618,19,426.2,548.7,537.9,427.7,600.0,4,485.12500000000006
190001447215,39,471.0,512.2,527.3,501.5,580.0,3,503.0
190003825026,17,359.3,520.1,430.1,493.3,440.0,4,450.7
190001995539,17,494.7,503.7,545.2,585.6,880.0,5,532.3
190004693239,21,517.1,592.2,592.2,428.1,440.0,3,532.4000000000001
190004877161,17,538.0,588.1,570.8,619.9,420.0,4,579.1999999999999
190002220563,17,482.6,425.2,522.6,433.0,640.0,5,465.85
190002234080,19,481.7,344.5,427.3,499.9,0.0,5,438.35
190002852302,17,370.6,461.0,495.6,411.5,320.0,4,434.675
190001632617,17,471.0,512.2,527.3,501.5,580.0,4,503.0
190002321100,17,471.0,512.2,527.3,501.5,580.0,5,503.0
190005617834,19,471.0,512.2,527.3,501.5,580.0,6,503.0
190002541154,18,391.6,388.7,453.3,520.3,260.0,5,438.47499999999997
190004067232,16,589.6,621.0,607.7,705.3,860.0,5,630.9
190002129550,20,471.0,512.2,527.3,501.5,580.0,3,503.0
190001716907,17,471.0,512.2,527.3,501.5,580.0,2,503.0
190002831622,17,485.9,592.1,560.0,551.6,600.0,7,547.4
190003865673,18,402.3,526.4,573.7,589.2,780.0,4,522.9000000000001
190004149436,23,516.6,511.1,500.3,368.6,460.0,3,474.15
190002737341,32,471.0,512.2,527.3,501.5,580.0,6,503.0
190001517444,21,353.2,523.4,407.4,401.6,580.0,5,421.4
190005638401,26,388.7,416.9,482.6,501.5,540.0,1,447.42499999999995
190004603504,22,517.8,448.6,529.3,552.5,500.0,6,512.05
190002166834,21,542.6,579.5,573.0,544.3,800.0,5,559.8499999999999
190001555031,26,431.1,501.7,483.0,478.3,440.0,2,473.525
190003331916,28,471.0,512.2,527.3,501.5,580.0,4,503.0
190002079886,18,471.0,512.2,527.3,501.5,580.0,5,503.0
190004821484,18,328.2,423.7,455.6,406.8,0.0,7,403.575
190001313420,18,355.0,326.0,377.8,435.6,300.0,5,373.6
190004836261,20,471.0,512.2,527.3,501.5,580.0,5,503.0
190005469383,18,380.2,431.5,485.8,427.6,380.0,2,431.275
190003501526,24,471.0,512.2,527.3,501.5,580.0,3,503.0
190001274316,19,358.6,454.0,556.2,530.4,600.0,5,474.80000000000007
190002447222,23,581.9,592.5,636.6,610.6,540.0,2,605.4
190003153563,19,471.0,512.2,527.3,501.5,580.0,5,503.0
190002745382,21,453.4,547.6,533.1,536.0,660.0,2,517.525
190005591193,25,492.8,445.6,514.9,448.9,460.0,3,475.55000000000007
190004679421,17,611.4,317.3,610.1,732.3,760.0,7,567.7750000000001
190001429230,19,435.0,377.1,446.3,494.7,460.0,5,438.27500000000003
190002906509,21,471.0,512.2,527.3,501.5,580.0,2,503.0
190002082259,18,395.1,418.2,481.8,521.2,520.0,2,454.075
190004643483,23,450.5,456.0,500.3,408.5,520.0,3,453.825
190005872461,17,422.2,477.6,435.5,458.6,300.0,2,448.475
190001025161,24,471.0,512.2,527.3,501.5,580.0,6,503.0
190002171820,29,463.7,357.5,513.6,489.5,400.0,4,456.07500000000005
190003122581,29,471.0,512.2,527.3,501.5,580.0,4,503.0
190002252689,19,571.2,564.6,534.0,641.7,580.0,4,577.875
190002916018,18,407.4,335.9,453.7,538.9,420.0,3,433.975
190004966245,21,471.0,512.2,527.3,501.5,580.0,3,503.0
190001015906,17,375.8,381.9,492.6,479.6,480.0,4,432.475
190001993543,21,471.0,437.8,444.2,501.5,0.0,4,463.625
190005390173,58,464.6,429.7,452.0,377.6,260.0,4,430.975
190003364965,20,433.4,438.5,560.6,465.9,700.0,4,474.6
190003484180,23,448.5,517.8,525.3,538.7,740.0,5,507.575
190005552854,33,471.0,512.2,527.3,501.5,580.0,3,503.0
190005615898,18,471.0,490.4,479.8,501.5,600.0,2,485.675
190005444717,33,400.8,496.2,504.9,609.4,520.0,2,502.82500000000005
190001168682,19,471.0,512.2,527.3,501.5,580.0,5,503.0
190004777781,20,455.9,486.9,523.5,431.7,480.0,4,474.5
190003918293,16,568.5,609.6,599.7,748.0,480.0,4,631.45
190005033224,19,407.4,445.3,457.6,477.6,480.0,3,446.975
190001305944,16,471.0,618.7,617.8,501.5,940.0,3,552.25
190002564679,27,480.3,536.6,552.6,509.0,640.0,4,519.625
190004132865,27,576.8,588.3,597.2,488.8,0.0,5,562.775
190005911574,23,445.2,431.7,431.4,397.1,260.0,3,426.35
190005459458,18,536.1,557.6,537.4,614.7,600.0,6,561.45
190005141303,18,401.6,435.7,498.9,492.8,300.0,4,457.24999999999994
190002699423,21,471.0,512.2,527.3,501.5,580.0,3,503.0
190004529385,33,446.5,450.5,474.5,547.2,480.0,3,479.675
190006065434,19,418.5,444.3,381.2,446.5,340.0,2,422.625
190005116150,18,471.0,512.2,527.3,501.5,580.0,5,503.0
190005220307,20,425.7,380.7,409.4,560.0,540.0,7,443.95
190001653276,19,433.6,396.1,518.8,571.1,720.0,5,479.9
190001234607,36,471.0,512.2,527.3,501.5,580.0,4,503.0
190002232905,18,484.5,562.9,565.6,461.4,400.0,5,518.6
190002034561,21,471.0,512.2,527.3,501.5,580.0,5,503.0
190002194734,25,471.0,512.2,527.3,501.5,580.0,4,503.0
190002864377,19,357.4,426.6,492.2,520.5,620.0,4,449.175
190005165411,28,421.4,468.4,506.9,521.6,580.0,2,479.57499999999993
190004281755,18,562.4,609.6,550.4,458.6,680.0,4,545.25
190003864808,18,383.0,444.7,468.3,437.8,600.0,4,433.45
190005127592,26,395.6,400.4,420.9,398.2,560.0,7,403.77500000000003
190002708656,19,492.6,520.8,512.2,366.6,480.0,6,473.04999999999995
190003737994,17,636.2,613.4,612.8,766.4,660.0,2,657.1999999999999
190005924478,19,471.0,512.2,527.3,501.5,580.0,6,503.0
190004736414,17,515.6,617.9,584.0,650.5,600.0,5,592.0
190002764763,28,540.0,571.3,555.3,527.5,340.0,2,548.525
190005127206,18,391.7,361.1,495.4,432.0,380.0,4,420.04999999999995
190005840813,29,566.6,615.1,626.2,560.7,680.0,5,592.1500000000001
190005190224,22,412.7,482.9,499.1,377.6,740.0,5,443.07499999999993
190005120101,15,547.2,498.7,508.4,703.5,600.0,4,564.45
190001161607,17,646.8,611.1,594.9,666.2,320.0,3,629.75
190004434373,28,374.9,365.1,403.1,402.0,420.0,2,386.275
190002751890,17,378.4,446.6,473.1,483.0,500.0,5,445.275
190004920872,17,409.1,372.8,487.2,509.6,620.0,4,444.67500000000007
190002172822,16,452.1,490.2,499.4,490.4,600.0,4,483.025
190001524340,20,421.7,520.3,550.5,435.9,660.0,3,482.1
190003776660,24,471.0,512.2,527.3,501.5,580.0,3,503.0
